기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-24,2025-02-18,1000,25,20,20,18.5,21
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-05,2025-02-10,1000,25,24,24,18.5,20
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,15회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-11-18,2025-05-22,1000,25,18,18,18.5,24
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,16회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-02,2025-10-02,1000,25,19,19,18.5,18
한국정보교육원(구.경원직업전문학교),"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층",자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,17회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-14,2025-08-14,1000,25,6,5,18.5,19
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-04-24,2023-09-05,728,80,66,66,43.44,해당 정보 없음
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-19,2023-11-03,728,80,77,77,43.44,66
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-08-16,2023-12-29,728,85,42,42,43.44,77
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-02,2024-05-17,728,80,71,71,43.44,42
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-02,2024-09-13,728,80,63,63,43.44,71
