기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
중앙HTA IT교육원,자바(Java)기반 컨테이너 애플리케이션 가상화를 통한 Cloud Office 구축 프로젝트 과정,5회차,30,15,15,9,18.0,18,55.6,87.6,15,2023-02-20,2023-08-21,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,1000,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층
중앙HTA IT교육원,자바(Java)기반 컨테이너 애플리케이션 가상화를 통한 Cloud Office 구축 프로젝트 과정,6회차,30,23,23,20,18.0,15,40.0,89.1,21,2023-03-13,2023-09-12,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,1000,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층
중앙HTA IT교육원,자바(Java)기반 컨테이너 애플리케이션 가상화를 통한 Cloud Office 구축 프로젝트 과정,7회차,30,20,20,18,18.0,23,27.8,88.7,19,2023-05-02,2023-11-06,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,1000,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층
중앙HTA IT교육원,자바(Java)기반 컨테이너 애플리케이션 가상화를 통한 Cloud Office 구축 프로젝트 과정,8회차,30,14,14,12,18.0,20,25.0,77.6,14,2023-12-26,2024-07-01,인프라스트럭쳐아키텍처구축(20010213),K-디지털 트레이닝,1000,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,14회차,20,17,17,14,14.5,9,50.0,78,13,2023-02-20,2023-08-17,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,15회차,20,12,12,12,14.5,17,66.7,72.6,12,2023-05-30,2023-12-04,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
주식회사멋쟁이사자처럼,멋쟁이사자처럼 백엔드 스쿨,3회차,100,98,98,74,85.25,90,27.1,89,75,2023-02-20,2023-07-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 백엔드 스쿨,4회차,110,108,108,83,85.25,98,44.6,73.1,93,2023-04-17,2023-09-15,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 백엔드 스쿨,5회차,110,82,82,58,85.25,108,43.1,79.2,72,2023-10-18,2024-04-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
주식회사멋쟁이사자처럼,멋쟁이사자처럼 백엔드 스쿨,6회차,110,53,53,32,85.25,82,59.4,83.3,36,2023-11-16,2024-05-03,응용SW엔지니어링(20010202),K-디지털 트레이닝,800,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,5회차,30,30,30,23,26.67,23,47.8,85.7,26,2023-02-21,2023-08-16,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,6회차,30,28,29,16,26.67,30,43.8,46.9,21,2023-05-23,2023-11-16,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,7회차,30,21,21,10,26.67,29,50.0,62.2,14,2023-08-22,2024-02-21,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
