기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,7,28,18,진행중,IT시스템관리,진행중,29,30,K-디지털트레이닝,2024-02-20,2024-08-14,서울 강남구,3.62
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,8,16,0,진행중,IT시스템관리,진행중,19,30,K-디지털트레이닝,2024-09-24,2025-04-02,서울 강남구,3.62
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,9,21,0,진행중,IT시스템관리,진행중,24,30,K-디지털트레이닝,2024-12-30,2025-07-02,서울 강남구,3.62
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,9,19,12,75.0,응용SW엔지니어링,과정 종료,20,30,K-디지털트레이닝,2024-01-30,2024-07-31,서울 강남구,4.38
솔데스크강남학원,자바(JAVA)와 사물인터넷(IOT)을 활용한 하이브리드 웹앱 풀스택 과정,1,11,9,진행중,응용SW엔지니어링,진행중,14,30,K-디지털트레이닝,2024-06-18,2025-01-14,서울 강남구,5.0
솔데스크강남학원,자바(JAVA)와 사물인터넷(IOT)을 활용한 하이브리드 웹앱 풀스택 과정,2,14,0,진행중,응용SW엔지니어링,진행중,20,30,K-디지털트레이닝,2024-07-30,2025-03-05,서울 강남구,5.0
솔데스크강남학원,챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,1,19,0,진행중,빅데이터플랫폼구축,진행중,22,30,K-디지털트레이닝,2024-09-24,2025-04-14,서울 강남구,0.0
솔데스크강남학원,챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,2,16,0,진행중,빅데이터플랫폼구축,진행중,20,30,K-디지털트레이닝,2024-11-19,2025-06-11,서울 강남구,0.0
