기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,14회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-01-17,2023-07-14,960,30,29,29,26,27.6,21,87.4,26,61.5
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,15회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-02-28,2023-08-23,960,30,30,30,23,27.6,29,98,28,69.6
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,16회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-06-23,2024-02-07,960,30,30,30,25,27.6,30,88.5,26,68.0
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,17회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-07-18,2024-01-11,960,30,28,28,14,27.6,30,93.8,23,57.2
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,18회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-08-16,2024-02-08,960,30,21,21,12,27.6,28,91.4,15,58.3
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-01-18,2023-07-24,960,30,20,20,14,26.6,13,93.9,14,35.7
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-03-28,2023-09-19,960,30,30,30,22,26.6,20,89.3,24,50.0
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-04,2024-01-09,960,30,27,27,18,26.6,30,82,19,61.1
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-07-26,2024-01-30,960,30,30,30,25,26.6,27,78,26,44.0
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-10-24,2024-04-25,960,30,26,26,18,26.6,30,96.4,24,44.5
