기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-01-26,2023-08-08,960,30,23,23,16,26.17,21,90.5,15,56.3
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-03-07,2023-09-08,960,30,29,29,20,26.17,23,87,22,30.0
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-05-02,2023-11-02,960,30,30,30,19,26.17,29,83.7,21,47.4
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-06-27,2023-12-19,960,30,26,26,16,26.17,30,83.2,17,43.8
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-09-19,2024-03-20,960,30,29,29,22,26.17,26,79.5,23,45.4
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-11-28,2024-06-05,960,30,20,20,18,26.17,29,91.6,17,72.2
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,5회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-04-18,2023-10-16,960,30,27,27,19,21.5,15,53.9,22,36.8
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,6회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-08-22,2024-02-16,960,30,16,16,12,21.5,27,82.1,12,58.3
