기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,3,30,27,27,21,25.33,28,76.2,88.2,22,2022-01-18,2022-07-18,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,4,30,24,24,20,25.33,27,70.0,79.1,21,2022-03-15,2022-09-02,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,5,30,25,25,17,25.33,24,88.2,92.6,19,2022-06-21,2022-12-16,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,8,30,29,29,25,18.67,25,72.0,74,20,2022-01-24,2022-08-10,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,9,30,26,26,23,18.67,29,91.3,91.7,24,2022-02-14,2022-08-11,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,10,20,20,20,15,18.67,26,93.3,90.7,15,2022-03-28,2022-09-22,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,11,20,12,12,10,18.67,20,70.0,87.3,11,2022-05-30,2022-11-29,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,12,30,16,16,15,18.67,12,73.3,88.8,16,2022-09-19,2023-03-21,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터 플랫폼 구축(하둡)과 빅데이터분석(by Spark&Power Bi)&자바(JAVA)웹개발,13,20,9,9,5,18.67,16,60.0,86.7,6,2022-10-26,2023-05-10,빅데이터분석(20010105),K-디지털 트레이닝,977,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,6,30,23,23,15,23.25,29,86.7,82.4,17,2022-02-15,2022-08-08,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,7,30,23,23,14,23.25,23,57.1,92.9,17,2022-04-19,2022-11-18,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,8,30,27,27,18,23.25,23,77.8,92.2,23,2022-07-20,2023-01-11,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,9,30,25,25,19,23.25,27,79.0,91.8,17,2022-07-26,2023-03-22,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,10,30,23,23,18,23.25,25,55.6,87.8,18,2022-08-09,2023-02-03,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,11,30,20,20,18,23.25,23,72.2,72.9,17,2022-09-14,2023-03-07,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,12,30,24,24,22,23.25,20,86.4,87.3,22,2022-11-22,2023-06-21,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,13,30,21,21,20,23.25,24,70.0,91,20,2022-12-27,2023-06-27,IT시스템관리(20010301),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,2,30,22,22,19,24.33,24,63.2,92.6,19,2022-03-02,2022-08-23,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,3,30,28,28,25,24.33,22,64.0,90.4,25,2022-05-06,2022-10-31,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,4,30,23,23,19,24.33,28,57.9,83.2,19,2022-09-19,2023-03-10,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
하이미디어아카데미인재개발원,기업요구사항을 반영한 오픈스택(OpenStack) 클라우드 구축 전문가,3,25,17,17,11,17.0,11,72.7,88.3,12,2022-03-21,2022-09-21,IT시스템관리(20010301),K-디지털 트레이닝,1000,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,1,30,25,25,21,19.25,해당 정보 없음,100.0,97.4,23,2022-05-02,2022-12-16,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,2,30,21,21,18,19.25,25,55.6,91.3,16,2022-08-16,2023-03-31,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,3,20,15,15,13,19.25,21,61.5,96.4,11,2022-12-07,2023-07-21,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
더조은컴퓨터아카데미 종로,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,4,30,16,16,12,19.25,15,41.7,95.4,13,2022-12-30,2023-08-17,빅데이터분석(20010105),K-디지털 트레이닝,1220,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층
이젠아카데미 DX교육센터,AWS 클라우드환경 네이티브 앱 개발 & Devops,1,25,20,20,14,20.0,해당 정보 없음,71.5,74.7,15,2022-05-10,2022-12-20,응용SW엔지니어링(20010202),K-디지털 트레이닝,860,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,1,30,30,30,19,29.5,해당 정보 없음,63.2,63.8,16,2022-05-19,2022-11-30,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,2,30,29,29,24,29.5,30,83.3,94.7,19,2022-06-21,2022-12-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,3,30,30,30,26,29.5,29,57.599999999999994,97.7,26,2022-08-08,2023-01-31,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
하이미디어아카데미인재개발원,스마트웹 모바일 서비스를 위한 클라우드 기반의 MSA 풀스택 자바 개발자,4,30,29,29,23,29.5,30,52.2,86.4,22,2022-12-07,2023-06-05,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,4,30,26,26,22,28.33,26,81.8,97.5,24,2022-06-14,2022-12-07,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,5,30,29,29,23,28.33,26,82.6,90.4,27,2022-07-12,2023-01-19,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
(주)솔데스크,빅데이터 활용 인공지능 기반 개인화 서비스 구축 개발자 과정,6,30,30,30,25,28.33,29,84.0,99.3,27,2022-12-27,2023-06-29,빅데이터분석(20010105),K-디지털 트레이닝,960,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층"
대한상공회의소,SAP Young Next Cloud Academy,1,25,25,25,23,25.0,해당 정보 없음,100.0,91.7,24,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,2,25,25,25,22,25.0,25,100.0,94.7,15,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,3,25,25,25,25,25.0,25,88.0,96.7,18,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,4,25,25,25,22,25.0,25,95.4,91.6,19,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,5,25,25,25,22,25.0,25,100.0,96.2,21,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,6,25,25,25,24,25.0,25,100.0,97.9,19,2022-06-20,2022-12-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
대한상공회의소,SAP Young Next Cloud Academy,7,25,25,25,23,25.0,25,91.3,85,24,2022-12-26,2023-06-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(04513) 서울특별시 중구 세종대로 39 17층 대한상공회의소 인력개발사업단
