기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,5,27,19,36.8,IT시스템관리,과정 종료,39,30,K-디지털트레이닝,2023-04-18,2023-10-16,서울 강남구,3.62
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,6,16,12,58.3,IT시스템관리,과정 종료,26,30,K-디지털트레이닝,2023-08-22,2024-02-16,서울 강남구,3.62
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,3,23,16,56.3,응용SW엔지니어링,과정 종료,32,30,K-디지털트레이닝,2023-01-26,2023-08-08,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,4,29,20,30.0,응용SW엔지니어링,과정 종료,35,30,K-디지털트레이닝,2023-03-07,2023-09-08,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,5,30,19,47.4,응용SW엔지니어링,과정 종료,36,30,K-디지털트레이닝,2023-05-02,2023-11-02,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,6,26,16,43.8,응용SW엔지니어링,과정 종료,33,30,K-디지털트레이닝,2023-06-27,2023-12-19,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,7,30,22,45.4,응용SW엔지니어링,과정 종료,37,30,K-디지털트레이닝,2023-09-19,2024-03-20,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,8,20,18,72.2,응용SW엔지니어링,과정 종료,26,30,K-디지털트레이닝,2023-11-28,2024-06-05,서울 강남구,4.38
