기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,2,25,19,73.7,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-06-07,2022-11-28,서울 강남구,3.62
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,3,19,12,91.6,IT시스템관리,과정 종료,25,30,K-디지털트레이닝,2022-10-12,2023-04-06,서울 강남구,3.62
솔데스크강남학원,IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,4,15,13,38.5,IT시스템관리,과정 종료,17,30,K-디지털트레이닝,2022-12-27,2023-06-21,서울 강남구,3.62
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,1,17,11,81.8,응용SW엔지니어링,과정 종료,18,30,K-디지털트레이닝,2022-06-07,2022-11-29,서울 강남구,4.38
솔데스크강남학원,블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,2,21,15,26.7,응용SW엔지니어링,과정 종료,27,30,K-디지털트레이닝,2022-08-23,2023-02-20,서울 강남구,4.38
