기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,6,23,15,86.7,IT시스템관리,과정 종료,28,30,K-디지털트레이닝,2022-02-15,2022-08-08,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,7,23,14,57.1,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-04-19,2022-11-18,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,8,27,18,77.8,IT시스템관리,과정 종료,32,30,K-디지털트레이닝,2022-07-20,2023-01-11,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,9,25,19,79.0,IT시스템관리,과정 종료,25,30,K-디지털트레이닝,2022-07-26,2023-03-22,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,10,23,18,55.6,IT시스템관리,과정 종료,24,30,K-디지털트레이닝,2022-08-09,2023-02-03,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,11,20,18,72.2,IT시스템관리,과정 종료,22,30,K-디지털트레이닝,2022-09-14,2023-03-07,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,12,24,22,86.4,IT시스템관리,과정 종료,26,30,K-디지털트레이닝,2022-11-22,2023-06-21,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,13,21,20,70.0,IT시스템관리,과정 종료,23,30,K-디지털트레이닝,2022-12-27,2023-06-27,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,3,27,21,76.2,IT시스템관리,과정 종료,33,30,K-디지털트레이닝,2022-01-18,2022-07-18,서울 종로구,4.42
(주)솔데스크,Ansible 자동화로 구현한 클라우드 환경 DevOps,4,24,20,70.0,IT시스템관리,과정 종료,27,30,K-디지털트레이닝,2022-03-15,2022-09-02,서울 종로구,4.42
