기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",블록체인 네트워크 보안을 적용한 AI 서비스 기반 풀스택 개발자,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-30,2024-07-31,960,30,19,19,6개월이 안 지났거나 해당 정보 없음,19.0,20,98,14,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,7회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-02-20,2024-08-14,960,30,28,28,6개월이 안 지났거나 해당 정보 없음,21.67,16,85.7,18,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,8회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-09-24,2025-04-02,960,30,16,16,6개월이 안 지났거나 해당 정보 없음,21.67,28,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",IaC 기반 AWS 마이크로 서비스 클라우드 환경 구축,9회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-12-30,2025-07-02,960,30,21,21,6개월이 안 지났거나 해당 정보 없음,21.67,16,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",자바(JAVA)와 사물인터넷(IOT)을 활용한 하이브리드 웹앱 풀스택 과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-18,2025-01-14,1040,30,11,11,6개월이 안 지났거나 해당 정보 없음,12.5,해당 정보 없음,100,8,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",자바(JAVA)와 사물인터넷(IOT)을 활용한 하이브리드 웹앱 풀스택 과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-30,2025-03-05,1040,30,14,14,6개월이 안 지났거나 해당 정보 없음,12.5,11,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,1회차,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,2024-09-24,2025-04-14,1040,30,19,19,6개월이 안 지났거나 해당 정보 없음,17.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
솔데스크강남학원,"(06120) 서울특별시 강남구 봉은사로 119 (논현동 성옥빌딩) 4층 전체, 5층 일부",챗GPT를 활용한 자바(JAVA) 스프링 및 데이터 분석 시스템기반 웹 플랫폼 구축 과정,2회차,빅데이터플랫폼구축(20010209),K-디지털 트레이닝,2024-11-19,2025-06-11,1040,30,16,16,6개월이 안 지났거나 해당 정보 없음,17.5,19,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
