기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-02-11,728,80,15,15,6개월이 안 지났거나 해당 정보 없음,39.8,40,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)이스트소프트,(06711) 서울특별시 서초구 반포대로 3 이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-19,2025-05-13,728,80,10,10,6개월이 안 지났거나 해당 정보 없음,39.8,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-03,2024-07-15,1040,20,20,20,15,19.0,21,95,17,60.0
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-25,2024-10-14,1040,20,18,18,6개월이 안 지났거나 해당 정보 없음,19.0,20,100,18,6개월이 안 지났거나 해당 정보 없음
쌍용교육센터,(135755) 서울특별시 강남구 테헤란로 132 한독약품빌딩 8층,AWS와 Docker & Kubernetes를 활용한 Java Full-Stack 개발자 양성과정,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-16,2025-04-28,1040,20,19,19,6개월이 안 지났거나 해당 정보 없음,19.0,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-08,2024-07-03,960,30,30,30,27,27.3,30,74.5,28,48.1
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-29,2024-10-28,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,27.3,30,92.9,24,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-13,2024-11-06,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,27.3,30,95.4,25,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-13,2024-11-08,960,30,29,29,6개월이 안 지났거나 해당 정보 없음,27.3,30,79.3,20,6개월이 안 지났거나 해당 정보 없음
플레이데이터평생교육원,(06643) 서울특별시 서초구 효령로 335 (서초동 대호프레조빌) 1층 일부,한화시스템 BEYOND SW 캠프 - “청년들의 미래를 이끄는 프로그램”,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-19,2024-12-12,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,27.3,29,95.8,27,6개월이 안 지났거나 해당 정보 없음
