기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),7회차,55,49,49,43,39.71,41,46.5,77.4,41,2023-01-02,2023-05-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),8회차,55,41,41,30,39.71,49,40.0,86.2,32,2023-01-02,2023-05-16,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),9회차,55,52,52,48,39.71,41,29.2,93.1,50,2023-01-30,2023-06-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),10회차,55,45,45,29,39.71,52,27.6,81,27,2023-02-27,2023-07-11,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),11회차,55,49,49,38,39.71,45,42.1,87.5,39,2023-03-13,2023-07-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),12회차,46,40,40,29,39.71,49,20.6,95,34,2023-03-13,2023-07-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),13회차,55,48,48,31,39.71,40,45.2,85.7,35,2023-04-24,2023-09-07,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),14회차,55,25,25,17,39.71,48,64.7,81.5,17,2023-05-30,2023-10-19,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),15회차,55,54,54,33,39.71,25,51.5,85.3,35,2023-06-26,2023-11-14,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),16회차,55,38,38,31,39.71,54,41.9,89.4,35,2023-07-24,2023-12-08,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),17회차,55,23,23,21,39.71,38,38.1,81,21,2023-08-21,2024-01-04,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
멀티캠퍼스,백엔드 개발자 부트캠프(스프링),18회차,55,46,46,37,39.71,23,45.9,95.7,40,2023-09-11,2024-01-30,응용SW엔지니어링(20010202),K-디지털 트레이닝,784,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
