기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","ChatGPT를 활용한 AI 웹앱(자바,파이썬) 서비스 개발자 양성 과정",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-04,2025-07-25,960,25,0,0,2.8,해당 정보 없음
글로벌아이티(IT)인재개발학원,"(08787) 서울특별시 관악구 봉천동 남부순환로 1820(에그엘로우) 6003호, 6004호, 7001호, 14층일부","ChatGPT를 활용한 AI 웹앱(자바,파이썬) 서비스 개발자 양성 과정",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-03-18,2025-09-05,960,25,0,0,2.8,해당 정보 없음
코드랩아카데미학원,"(08503) 서울특별시 금천구 가산동 가산디지털2로 144 20층 2013호~2018호(가산동, 현대 테라타워 가산DK)",클라우드(AWS) AI 챗봇서비스 활용 백엔드개발(웹프로그래머),1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-17,2025-07-01,900,30,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F","빅데이터 플랫폼 풀스택(프론트엔드,백엔드) 개발",12회차,빅데이터플랫폼구축(20010209),국가기간전략산업직종훈련,2025-01-17,2025-07-03,900,30,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F","빅데이터 플랫폼 풀스택(프론트엔드,백엔드) 개발",13회차,빅데이터플랫폼구축(20010209),국가기간전략산업직종훈련,2025-01-20,2025-07-04,900,30,0,0,0.0,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층","(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-18,2025-07-30,900,30,0,0,0.0,해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,1회차,IT시스템관리(20010301),국가기간전략산업직종훈련,2025-02-18,2025-07-31,910,30,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-12,2025-08-04,922,20,2,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",2회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-21,2025-07-14,922,20,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",3회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-20,2025-07-13,922,20,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",4회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-19,2025-07-12,922,20,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",5회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-18,2025-07-11,922,20,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",6회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-17,2025-07-10,922,20,0,0,0.0,해당 정보 없음
방송정보국제교육원,"(07222) 서울특별시 영등포구 당산동6가 당산로49길 4(태인빌딩) 2,5,6층,지하1층(일부) / 서울시 영등포구 양평로12길 10-8 2층,3층(일부) / 서울시 영등포구 양평로12길 13 3~4층","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1",7회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-16,2025-07-09,922,20,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",프로젝트기반 풀스택 자바웹개발자(프론트엔드&백엔드),11회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-17,2025-07-14,950,30,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F",프로젝트기반 풀스택 자바웹개발자(프론트엔드&백엔드),12회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-20,2025-07-15,950,30,0,0,0.0,해당 정보 없음
주식회사 이젠컴퓨터아카데미,"(01695) 서울특별시 노원구 상계로 64 (상계동 화랑빌딩) 4호선 2번출구 앞 화랑빌딩(롯데리아)7F,4F일부 / 서울특별시 중랑구 망우로 319 명진빌딩 4F","지능형 웹서비스 풀스택(프론트엔드,백엔드) 개발",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-17,2025-07-09,950,30,0,0,0.0,해당 정보 없음
