기관명,과정명,회차,수강확정인원,수료인원,6개월후_취업률,직종,과정상황,수강신청인원,모집인원,훈련유형,개강일,종강일,주소,만족도_평균점수
(사)한국무역협회무역아카데미,KITA 디지털 마스터 (무역 빅데이터 과정),1,29,22,59.0,빅데이터분석,과정 종료,31,30,K-디지털트레이닝,2022-12-06,2023-07-19,서울 강남구,4.14
(주)그렙,프로그래머스 K-Digital Training 자율주행 데브코스,3,30,22,50.0,IoT시스템연동,과정 종료,31,30,K-디지털트레이닝,2022-02-14,2022-07-15,서울 서초구,4.61
(주)그렙,프로그래머스 K-Digital Training 자율주행 데브코스,4,30,18,22.2,IoT시스템연동,과정 종료,32,30,K-디지털트레이닝,2022-10-31,2023-03-31,서울 서초구,4.61
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,3,29,24,54.2,빅데이터플랫폼구축,과정 종료,36,30,K-디지털트레이닝,2022-03-18,2022-08-17,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,4,26,21,76.2,빅데이터플랫폼구축,과정 종료,28,30,K-디지털트레이닝,2022-03-18,2022-08-17,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 빅데이터 플랫폼 프론트엔드 엔지니어링,5,35,25,56.0,빅데이터플랫폼구축,과정 종료,38,35,K-디지털트레이닝,2022-10-14,2023-03-15,서울 서초구,4.73
(주)그렙,프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,3,30,23,47.8,인프라스트럭쳐아키텍처구축,과정 종료,35,30,K-디지털트레이닝,2022-03-18,2022-08-17,서울 서초구,4.8
(주)그렙,프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,4,30,19,78.9,인프라스트럭쳐아키텍처구축,과정 종료,30,30,K-디지털트레이닝,2022-03-18,2022-08-17,서울 서초구,4.8
(주)그렙,프로그래머스 데브코스: 클라우드 기반 백엔드 엔지니어링,5,30,23,56.5,인프라스트럭쳐아키텍처구축,과정 종료,35,30,K-디지털트레이닝,2022-10-14,2023-03-15,서울 서초구,4.8
(주)솔데스크,Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,6,23,15,86.7,IT시스템관리,과정 종료,28,30,K-디지털트레이닝,2022-02-15,2022-08-08,서울 종로구,4.42
