기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
하이미디어아카데미인재개발원,React.js와 Springboot를 활용한 자바 풀스택 개발자,3,30,30,30,25,29.67,29,52.0,94.8,23,2022-12-19,2023-06-09,응용SW엔지니어링(20010202),K-디지털 트레이닝,900,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층"
멀티캠퍼스,멀티잇 채용연계 메타버스 게임콘텐츠 기획(언리얼),2,50,20,20,16,20.0,48,31.3,57.9,19,2022-10-04,2023-03-17,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(06220) 서울특별시 강남구 테헤란로 212 (역삼동 멀티캠퍼스) 2~3각층 전체, 5~17각층 전체"
에이콘아카데미(강남),IoT기반 웹&앱 자바(Java)개발자 양성과정,1,30,23,23,18,22.5,해당 정보 없음,83.39999999999999,95.3,17,2022-10-05,2023-03-31,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(06234) 서울특별시 강남구 테헤란로 124 (역삼동 삼원타워) 5층 501호
에이콘아카데미(강남),IoT기반 웹&앱 자바(Java)개발자 양성과정,2,30,22,22,15,22.5,23,33.3,90,12,2022-11-03,2023-04-28,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,(06234) 서울특별시 강남구 테헤란로 124 (역삼동 삼원타워) 5층 501호
한국소프트웨어인재개발원,자바 파이썬 활용 빅데이터 서비스 개발자 과정,1,25,24,24,21,24.5,해당 정보 없음,81.0,75.8,24,2022-10-13,2023-04-04,빅데이터분석(20010105),K-디지털 트레이닝,960,"(08505) 서울특별시 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 B동 304호, 305호, 306호, 307호, 308호, 309호"
한국소프트웨어인재개발원,자바 파이썬 활용 빅데이터 서비스 개발자 과정,2,27,27,27,21,24.5,24,85.7,83.7,27,2022-10-26,2023-04-17,빅데이터분석(20010105),K-디지털 트레이닝,960,"(08505) 서울특별시 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 B동 304호, 305호, 306호, 307호, 308호, 309호"
한국소프트웨어인재개발원,자바 파이썬 활용 빅데이터 서비스 개발자 과정,3,25,23,23,14,24.5,27,85.7,86.7,21,2022-11-21,2023-05-11,빅데이터분석(20010105),K-디지털 트레이닝,960,"(08505) 서울특별시 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 B동 304호, 305호, 306호, 307호, 308호, 309호"
한국소프트웨어인재개발원,자바 파이썬 활용 빅데이터 서비스 개발자 과정,4,25,24,24,19,24.5,23,73.7,80.9,23,2022-12-29,2023-06-22,빅데이터분석(20010105),K-디지털 트레이닝,960,"(08505) 서울특별시 금천구 가산디지털2로 101 (가산동) 한라원앤원타워 B동 304호, 305호, 306호, 307호, 308호, 309호"
한국직업전문학교,항공 자바(Java) 풀스택 개발자 양성과정,1,25,11,11,7,11.0,해당 정보 없음,71.4,80,9,2022-10-21,2023-04-25,응용SW엔지니어링(20010202),K-디지털 트레이닝,960,"(08378) 서울특별시 구로구 디지털로34길 27 (구로동 대륭포스트타워3차) 1106, 1107호"
패스트캠퍼스강남학원,백엔드 개발 부트캠프,1,40,25,25,15,29.5,해당 정보 없음,53.400000000000006,83.3,6,2022-10-24,2023-05-26,응용SW엔지니어링(20010202),K-디지털 트레이닝,883,"(06241) 서울특별시 강남구 강남대로 364 미왕빌딩 10층, 11층"
