기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-20,2025-07-29,1040,25,8,8,2.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-22,2025-07-31,1040,25,0,0,2.67,8,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-23,2025-08-01,1040,25,0,0,2.67,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-29,2025-03-13,1206,20,9,9,4.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-15,2025-08-25,1206,20,19,18,4.5,9,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-13,2025-09-18,1206,20,0,0,4.5,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-23,2025-09-03,1206,20,0,0,4.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-01-31,2025-09-05,1206,20,0,0,4.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,"프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-06,2025-09-11,1206,20,0,0,4.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",데이터 중심 그로스 마케팅 과정,1회차,빅데이터분석(20010105),K-디지털 트레이닝,2025-01-31,2025-05-23,608,60,51,48,48.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[프로젝트기반]자바 풀스택 개발자(React.js, Springboot, CI/CD 활용)",1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-10,2025-03-14,960,30,18,18,15.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[프로젝트기반]자바 풀스택 개발자(React.js, Springboot, CI/CD 활용)",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-04,2025-07-24,960,30,13,12,15.0,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",웹 서비스 프로젝트 기반 프론트엔드 엔지니어 부트캠프,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-24,2025-01-24,920,70,32,32,46.5,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",웹 서비스 프로젝트 기반 프론트엔드 엔지니어 부트캠프,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2025-02-05,2025-08-08,920,70,61,61,46.5,32,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,(03164) 서울특별시 종로구 종로2가 종로 69(서울 YMCA) 3층 일부,챗GPT 생성형 AI를 활용한 반응형 웹콘텐츠(영상제작&코딩) 개발기획자 양성,1회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-12-31,2025-07-10,960,30,26,26,13.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
엠비씨(MBC)아카데미 컴퓨터교육센터 본점,(03164) 서울특별시 종로구 종로2가 종로 69(서울 YMCA) 3층 일부,챗GPT 생성형 AI를 활용한 반응형 웹콘텐츠(영상제작&코딩) 개발기획자 양성,2회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2025-02-05,2025-07-28,960,30,11,0,13.0,26,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",『프로젝트기반』프론트엔드 개발자 양성(Figma/React/Next.js/PHP/Mysql/chatGPT),1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-27,2025-07-02,1000,20,11,11,6.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
