기관명,과정명,회차,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,6개월후_취업률,만족도_평균점수,만족도_응답자수,개강일,종강일,직종,훈련유형,훈련시간,주소
(주)이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",4,80,71,71,48,39.8,42,33.3,73.1,52,2024-01-02,2024-05-17,응용SW엔지니어링(20010202),K-디지털 트레이닝,728,(06711) 서울특별시 서초구 반포대로 3 이스트소프트
(주)이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",5,80,63,63,해당 정보 없음,39.8,71,해당 정보 없음,76.9,44,2024-05-02,2024-09-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,728,(06711) 서울특별시 서초구 반포대로 3 이스트소프트
(주)이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",6,80,40,40,해당 정보 없음,39.8,63,해당 정보 없음,84.1,27,2024-08-05,2024-12-20,응용SW엔지니어링(20010202),K-디지털 트레이닝,728,(06711) 서울특별시 서초구 반포대로 3 이스트소프트
(주)이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",7,80,15,15,해당 정보 없음,39.8,40,해당 정보 없음,해당 정보 없음,해당 정보 없음,2024-09-23,2025-02-11,응용SW엔지니어링(20010202),K-디지털 트레이닝,728,(06711) 서울특별시 서초구 반포대로 3 이스트소프트
(주)이스트소프트,"[이스트캠프]오르미 백엔드 개발(Java, Spring, JPA)",8,80,10,10,해당 정보 없음,39.8,15,해당 정보 없음,해당 정보 없음,해당 정보 없음,2024-12-19,2025-05-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,728,(06711) 서울특별시 서초구 반포대로 3 이스트소프트
한국정보교육원(구.경원직업전문학교),자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,8,25,20,20,17,21.71,13,88.30000000000001,96.4,16,2024-01-22,2024-07-24,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
한국정보교육원(구.경원직업전문학교),자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,10,30,29,29,해당 정보 없음,21.71,11,해당 정보 없음,95,23,2024-01-02,2024-09-13,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
한국정보교육원(구.경원직업전문학교),자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,11,20,20,20,해당 정보 없음,21.71,29,해당 정보 없음,93.3,17,2024-03-25,2024-10-01,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
한국정보교육원(구.경원직업전문학교),자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,12,25,21,21,해당 정보 없음,21.71,20,해당 정보 없음,97.5,17,2024-06-24,2025-01-27,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
한국정보교육원(구.경원직업전문학교),자바 스프링 리액트로 완성하는 클라우드 활용 풀스택 개발,13,25,20,20,해당 정보 없음,21.71,21,해당 정보 없음,해당 정보 없음,해당 정보 없음,2024-06-24,2025-02-18,응용SW엔지니어링(20010202),K-디지털 트레이닝,1000,"(08708) 서울특별시 관악구 봉천로 227 (봉천동 보라매샤르망) 5층, 6층 일부, 7층"
