기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,1회차,IT시스템관리(20010301),K-디지털 트레이닝,2020-11-24,2021-05-25,960,25,22,22,25.05,해당 정보 없음,86,20,90.0,20
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,2회차,IT시스템관리(20010301),K-디지털 트레이닝,2021-01-05,2021-06-28,960,25,26,26,25.05,22,84.5,22,77.3,22
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,3회차,IT시스템관리(20010301),K-디지털 트레이닝,2021-03-03,2021-08-27,960,25,29,29,25.05,26,82.9,21,86.4,22
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,4회차,IT시스템관리(20010301),K-디지털 트레이닝,2021-08-31,2022-02-28,960,25,23,23,25.05,29,76.3,16,81.3,16
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,5회차,IT시스템관리(20010301),K-디지털 트레이닝,2021-12-07,2022-06-10,960,25,29,29,25.05,23,87,23,81.8,22
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,6회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-02-15,2022-08-08,960,30,23,23,25.05,29,82.4,17,86.7,15
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,7회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-04-19,2022-11-18,960,30,23,23,25.05,23,92.9,17,57.1,14
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,8회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-07-20,2023-01-11,960,30,27,27,25.05,23,92.2,23,77.8,18
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,9회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-07-26,2023-03-22,960,30,25,25,25.05,27,91.8,17,79.0,19
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,10회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-08-09,2023-02-03,960,30,23,23,25.05,25,87.8,18,55.6,18
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,11회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-09-14,2023-03-07,960,30,20,20,25.05,23,72.9,17,72.2,18
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,12회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-11-22,2023-06-21,960,30,24,24,25.05,20,87.3,22,86.4,22
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,13회차,IT시스템관리(20010301),K-디지털 트레이닝,2022-12-27,2023-06-27,960,30,21,21,25.05,24,91,20,70.0,20
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,14회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-01-17,2023-07-14,960,30,29,29,25.05,21,87.4,26,61.5,26
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,15회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-02-28,2023-08-23,960,30,30,30,25.05,29,98,28,69.6,23
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,16회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-06-23,2024-02-07,960,30,30,30,25.05,30,88.5,26,68.0,25
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,17회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-07-18,2024-01-11,960,30,28,28,25.05,30,93.8,23,57.2,14
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,18회차,IT시스템관리(20010301),K-디지털 트레이닝,2023-08-16,2024-02-08,960,30,21,21,25.05,28,91.4,15,58.3,12
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,19회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-04-16,2024-10-15,960,30,24,23,25.05,21,97.7,19,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,1회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2022-07-26,2023-01-16,960,30,22,22,20.11,해당 정보 없음,91.8,17,72.2,18
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2022-08-23,2023-03-30,960,30,17,17,20.11,22,94,10,61.5,13
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2022-11-22,2023-05-19,960,30,13,13,20.11,17,95.4,13,50.0,12
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-01-18,2023-07-24,960,30,20,20,20.11,13,93.9,14,35.7,14
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2023-03-28,2023-09-19,960,30,30,30,20.11,20,89.3,24,50.0,22
