기관명,직종,예측_취업률,진행_횟수
(주)알파코,응용SW엔지니어링(20010202),34.8,7
케이지에듀원 아이티뱅크종로학원,IT시스템관리(20010301),34.75714286,4
대한상공회의소,응용SW엔지니어링(20010202),33.52959184,65
케이아이씨캠퍼스학원,빅데이터분석(20010105),33.175,6
(주)케이지에듀원 아이티뱅크노량진학원,응용SW엔지니어링(20010202),33.03333333,3
(주)포스코 미래창조아카데미,응용SW엔지니어링(20010202),28.125,16
KH정보교육원 강남지원,빅데이터분석(20010105),27.75,3
(주)이스트소프트,응용SW엔지니어링(20010202),25.36666667,4
KH정보교육원 강남지원,응용SW엔지니어링(20010202),25,1
한국소프트웨어산업협회,빅데이터분석(20010105),22.9,2
주식회사코드스테이츠,응용SW엔지니어링(20010202),18.33,14
하이미디어컴퓨터학원,응용SW엔지니어링(20010202),17.2,2
은곡직업전문학교,빅데이터분석(20010105),16.7,1
방송정보국제교육원,응용SW엔지니어링(20010202),16.4,2
더조은컴퓨터아카데미 종로,응용SW엔지니어링(20010202),14.25,3
한국품질재단 평생교육시설,빅데이터분석(20010105),13.9,7
에티버스러닝평생교육원,응용SW엔지니어링(20010202),13.82884615,21
넥스트러너스평생교육시설,응용SW엔지니어링(20010202),11.78,6
더조은컴퓨터아카데미,응용SW엔지니어링(20010202),11.6,15
(주)엘리스그룹,응용SW엔지니어링(20010202),10.97,9
구트아카데미학원,응용SW엔지니어링(20010202),10.67380952,9
솔데스크강남학원,IT시스템관리(20010301),6.783333333,5
한국경영인증원,빅데이터분석(20010105),0,5
멀티캠퍼스,빅데이터분석(20010105),0,59
메디치교육센터 평생교육시설,빅데이터분석(20010105),0,6
메가스터디컴퓨터아카데미신촌학원,응용SW엔지니어링(20010202),0,8
한국전파진흥협회,응용SW엔지니어링(20010202),0,4
더조은컴퓨터아카데미 종로,빅데이터분석(20010105),0,15
(주)우아한형제들,응용SW엔지니어링(20010202),0,4
